name confidence ymin xmin ymax xmax
apple 0.904293 1471.103638 3867.583496 1536.682251 3926.668945
apple 0.889203 1925.883911 2482.063965 1988.916870 2533.875977
apple 0.881659 1942.128662 2742.860840 1991.681641 2791.006348
apple 0.880521 2288.166992 3844.037598 2356.094727 3894.227539
apple 0.879385 2057.221680 2516.475830 2121.031250 2572.616455
apple 0.876320 1469.915894 3500.869629 1512.722534 3536.769531
apple 0.876255 1367.836670 2025.924683 1422.916504 2072.883789
apple 0.868726 1577.253296 3844.940430 1606.652222 3884.301270
apple 0.867632 1615.926636 2381.293457 1674.003296 2432.341309
apple 0.866688 1461.175781 3295.238525 1519.998291 3343.651611
apple 0.864282 1420.045044 3461.878418 1472.495972 3509.367188
apple 0.855654 1718.285522 2384.928223 1765.362427 2437.091797
apple 0.852249 1603.781616 1633.519653 1649.921509 1682.717651
apple 0.850692 1742.646729 2258.411133 1795.657227 2308.666992
apple 0.847544 1998.145996 2522.729736 2045.256348 2573.490967
apple 0.845602 1660.024414 2700.564453 1719.259033 2751.650879
apple 0.843646 1112.595947 2217.222900 1164.229248 2263.506104
apple 0.841964 1327.151611 2254.589844 1377.395752 2303.141113
apple 0.841689 1591.216553 2411.713379 1638.001221 2461.200684
apple 0.840469 1614.544312 2629.776855 1669.398560 2681.360352
apple 0.829861 2385.267578 3782.181885 2413.103516 3812.862549
apple 0.826292 2397.321533 4393.261230 2432.952393 4437.033691
apple 0.824137 1633.174194 2436.959717 1679.263550 2477.271729
apple 0.820878 1182.734619 1851.440796 1257.105957 1902.416382
apple 0.806914 1447.734375 2132.586182 1480.368652 2170.873779
apple 0.802693 2347.304932 4398.965820 2391.821533 4451.266602
apple 0.801345 1559.280884 2688.798096 1595.532104 2720.849854
apple 0.794771 1366.973267 1485.491089 1399.244019 1517.486694
apple 0.794159 1240.088623 1634.573486 1287.049072 1677.103516
apple 0.793799 2224.815674 4998.753418 2262.616943 5039.043457
apple 0.793769 545.567871 3400.611084 571.937988 3436.732666
apple 0.792747 2.709059 3909.665527 51.934753 3959.271484
apple 0.791679 1927.956177 2782.665039 1971.733765 2823.111816
apple 0.788357 1787.437012 2307.182129 1844.770264 2357.493652
apple 0.787516 1275.654297 1773.190308 1325.806885 1816.314087
apple 0.787358 1410.294067 2162.535400 1448.669556 2202.055908
apple 0.784065 1440.307983 2808.397461 1484.117310 2849.399414
apple 0.780541 1588.866577 3009.533936 1636.548462 3054.118408
apple 0.779905 1096.052368 4885.035156 1126.448120 4926.581055
apple 0.778790 2325.358398 4356.960449 2384.986816 4394.468262
apple 0.777129 1440.892578 2084.903076 1470.008789 2112.385010
apple 0.766516 1454.960938 2632.760254 1480.523438 2665.149902
apple 0.766365 1405.342896 2845.315674 1469.536255 2897.041748
apple 0.761260 1561.196411 2621.520996 1621.966187 2667.667969
apple 0.752808 1665.828125 2375.149658 1703.379883 2419.534912
apple 0.751336 2733.997314 2428.215576 2772.835205 2469.998291
apple 0.750910 1630.902344 2371.160645 1684.937500 2419.327637
apple 0.746765 1187.993774 1621.491089 1225.158325 1659.983765
apple 0.746670 209.971664 1307.553955 248.892227 1340.328369
apple 0.744964 1858.925293 3450.058594 1888.669189 3491.354492
apple 0.744527 2141.149414 4504.080566 2198.065918 4552.069824
apple 0.741428 2150.379150 4439.390137 2203.422607 4487.248535
apple 0.730700 1961.113159 2525.891113 1998.530396 2557.509277
apple 0.729093 1120.122192 4962.283203 1153.944946 4998.268555
apple 0.726616 2212.517090 4482.002930 2255.902344 4523.822266
apple 0.721295 1968.123901 2720.295166 2011.066772 2766.310791
apple 0.720278 3618.928955 2879.318359 3644.854736 2908.132324
apple 0.713195 1325.959717 2207.440430 1381.812256 2253.596680
apple 0.712510 2192.535645 4528.492188 2248.916016 4570.854492
apple 0.710126 2360.930420 4184.764160 2401.375244 4226.995605
apple 0.709397 2145.475098 4482.886719 2199.645020 4527.338867
