name confidence ymin xmin ymax xmax
apple 0.868989 1573.452515 3667.659912 1686.225464 3784.693604
apple 0.860919 2613.267822 2549.784180 2732.990723 2667.852783
apple 0.854008 1241.075195 2925.356934 1329.858154 3010.335449
apple 0.849038 1553.830322 2101.618896 1658.238281 2215.847412
apple 0.838641 1537.982178 2548.267090 1631.380127 2653.708496
apple 0.837220 1436.782471 3695.611328 1541.516846 3808.859375
apple 0.831415 3327.299805 3898.966553 3435.146484 3990.962402
apple 0.825145 1439.369019 3135.182617 1529.771118 3231.656982
apple 0.814474 1540.356934 2800.494873 1637.108032 2891.859619
apple 0.813526 1760.796875 3046.745117 1851.298096 3158.135498
apple 0.806420 1038.250854 3809.915527 1110.178833 3886.376465
apple 0.803087 138.772690 2463.942383 239.227402 2566.979736
apple 0.802984 2198.881348 2700.979004 2302.025635 2807.260254
apple 0.785728 1812.827148 1983.902954 1913.176880 2077.617920
apple 0.761663 1478.316772 1710.776245 1583.570557 1811.447998
apple 0.746350 2538.120850 2680.983643 2662.801270 2787.929688
apple 0.742488 1901.994507 2213.800293 1992.646484 2293.122559
apple 0.735855 2113.149170 3346.863770 2223.187500 3416.606445
apple 0.721323 1683.847290 1532.662109 1768.282227 1622.046509
apple 0.673406 2281.406494 2566.532471 2338.541260 2625.688965
apple 0.668387 1518.787598 3455.948975 1600.723877 3544.403076
apple 0.668312 1818.062988 1687.889404 1909.646240 1756.390381
apple 0.656456 1627.163086 2355.057861 1710.555420 2423.271729
apple 0.632615 1017.878601 4343.318359 1125.902954 4464.611328
apple 0.614945 1709.973389 3249.027344 1766.714722 3302.776367
apple 0.607017 2366.787354 2653.262695 2486.325928 2747.126953
apple 0.604255 1350.283569 2861.570557 1431.056152 2928.699219
apple 0.590502 1616.528198 1949.838623 1691.253540 2037.347168
apple 0.583701 1545.854126 2031.631592 1622.398071 2127.439209
apple 0.539555 1760.643066 2719.302002 1844.962158 2789.707520
apple 0.532952 1396.176025 1710.648926 1474.467407 1799.507812
apple 0.507980 1719.357544 2490.580811 1816.320312 2565.497559
apple 0.472024 1812.736084 1485.896729 1899.695435 1622.323120
apple 0.463493 1804.800049 1471.698364 1878.883789 1536.972778
apple 0.438113 970.721802 4330.114258 1045.698730 4394.316895
apple 0.412726 2271.490234 2573.571289 2348.664307 2655.753418
apple 0.408205 1651.468750 3303.364990 1681.342041 3356.755127
apple 0.390164 3575.480713 2684.086182 3648.000000 2769.088867
apple 0.366285 2420.554443 3937.142822 2505.460449 3991.179443
apple 0.349740 1303.838989 2420.873535 1385.349731 2489.964844
apple 0.317456 2353.846680 2656.174072 2408.894043 2725.069824
apple 0.312245 1531.661621 1344.508057 1603.687134 1395.406860
apple 0.307562 1416.258301 2514.863770 1477.432129 2544.083252
